timestamp,pm1,pm4,pm25,pm10,n05,n1,n25,n4,n10,tps
2023-10-21 22:25:16,0.8,8.4,5.0,10.1,0.0,1.0,5.3,6.2,6.4,1.6
2023-10-21 22:25:17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
2023-10-21 22:25:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
2023-10-21 22:25:19,0.8,0.8,0.8,0.8,5.3,6.0,6.0,6.0,6.0,0.3
2023-10-21 22:25:20,0.7,0.8,0.8,0.8,5.3,5.9,6.0,6.0,6.0,0.3
2023-10-21 22:25:21,0.7,0.8,0.8,0.8,5.2,5.8,5.8,5.8,5.8,0.3
2023-10-21 22:25:22,0.7,0.8,0.8,0.8,5.0,5.7,5.7,5.7,5.7,0.3
2023-10-21 22:25:23,0.7,0.7,0.7,0.7,4.9,5.5,5.5,5.5,5.5,0.3
2023-10-21 22:25:24,0.7,0.7,0.7,0.7,4.7,5.3,5.3,5.3,5.3,0.3
2023-10-21 22:25:25,0.6,0.7,0.7,0.7,4.5,5.1,5.1,5.1,5.1,0.3
2023-10-21 22:25:26,0.6,0.6,0.6,0.6,4.3,4.9,4.9,4.9,4.9,0.3
2023-10-21 22:25:27,0.6,0.6,0.6,0.6,4.1,4.6,4.7,4.7,4.7,0.3
2023-10-21 22:25:28,0.6,0.6,0.6,0.6,3.9,4.4,4.4,4.4,4.4,0.3
2023-10-21 22:25:29,0.5,0.6,0.6,0.6,3.7,4.2,4.2,4.2,4.2,0.3
2023-10-21 22:25:30,0.5,0.5,0.5,0.5,3.5,4.0,4.0,4.0,4.0,0.3
2023-10-21 22:25:31,0.5,0.5,0.5,0.5,3.3,3.7,3.7,3.7,3.7,0.3
2023-10-21 22:25:32,0.4,0.5,0.5,0.5,3.1,3.5,3.5,3.5,3.5,0.3
2023-10-21 22:25:33,0.4,0.4,0.4,0.4,2.9,3.3,3.3,3.3,3.3,0.3
2023-10-21 22:25:34,0.4,0.4,0.4,0.4,2.7,3.1,3.1,3.1,3.1,0.3
2023-10-21 22:25:35,0.3,0.9,0.7,1.1,1.2,2.1,2.4,2.5,2.5,0.7
2023-10-21 22:25:36,0.3,0.9,0.6,1.0,1.1,2.0,2.3,2.4,2.4,0.7
2023-10-21 22:25:37,0.3,0.8,0.6,1.0,1.1,1.9,2.2,2.2,2.3,0.7
2023-10-21 22:25:38,0.3,0.8,0.6,0.9,1.0,1.8,2.1,2.1,2.1,0.7
2023-10-21 22:25:40,0.3,0.8,0.5,0.9,1.0,1.7,1.9,2.0,2.0,0.7
2023-10-21 22:25:41,0.2,0.7,0.5,0.8,0.9,1.6,1.8,1.9,1.9,0.7
2023-10-21 22:25:42,0.2,0.6,0.4,0.7,0.8,1.4,1.6,1.7,1.7,0.7
2023-10-21 22:25:43,0.2,0.6,0.4,0.7,0.7,1.3,1.5,1.6,1.6,0.7
2023-10-21 22:25:44,0.2,0.6,0.4,0.6,0.7,1.2,1.4,1.5,1.5,0.7
2023-10-21 22:25:45,0.2,0.5,0.4,0.6,0.7,1.1,1.3,1.4,1.4,0.7
2023-10-21 22:25:46,0.2,0.5,0.3,0.6,0.6,1.1,1.2,1.3,1.3,0.7
2023-10-21 22:25:47,0.1,0.4,0.3,0.5,0.6,1.0,1.2,1.2,1.2,0.7
2023-10-21 22:25:48,0.1,0.4,0.3,0.5,0.5,0.9,1.1,1.1,1.1,0.7
2023-10-21 22:25:49,0.1,0.4,0.3,0.4,0.5,0.9,1.0,1.0,1.0,0.7
2023-10-21 22:25:50,0.1,0.4,0.3,0.4,0.5,0.8,0.9,1.0,1.0,0.7
2023-10-21 22:25:51,0.1,0.3,0.2,0.4,0.4,0.7,0.9,0.9,0.9,0.7
2023-10-21 22:25:52,0.1,0.3,0.2,0.4,0.4,0.7,0.8,0.8,0.8,0.7
2023-10-21 22:25:53,0.1,0.3,0.2,0.3,0.4,0.6,0.7,0.8,0.8,0.7
2023-10-21 22:25:54,0.1,0.3,0.2,0.3,0.3,0.6,0.7,0.7,0.7,0.7
2023-10-21 22:25:55,0.1,0.2,0.2,0.3,0.3,0.5,0.6,0.7,0.7,0.7
2023-10-21 22:25:56,0.1,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.7
2023-10-21 22:25:57,0.1,0.2,0.1,0.2,0.3,0.5,0.5,0.6,0.6,0.7
2023-10-21 22:25:58,0.1,0.2,0.1,0.2,0.2,0.4,0.5,0.5,0.5,0.7
2023-10-21 22:25:59,0.1,0.2,0.1,0.2,0.2,0.4,0.5,0.5,0.5,0.7
2023-10-21 22:26:00,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:26:01,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:26:02,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:26:03,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.7
2023-10-21 22:26:04,0.0,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.7
2023-10-21 22:26:05,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.7
2023-10-21 22:26:06,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.7
2023-10-21 22:26:07,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.7
2023-10-21 22:26:09,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.7
2023-10-21 22:26:10,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.7
2023-10-21 22:26:11,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.7
2023-10-21 22:26:12,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.7
2023-10-21 22:26:13,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:26:14,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:26:15,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:26:16,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:26:17,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:26:18,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:26:19,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:26:20,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:26:21,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:26:22,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:26:23,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.7
2023-10-21 22:26:24,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.7
2023-10-21 22:26:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7
2023-10-21 22:26:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:26:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:26:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:26:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:26:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:26:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:26:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:26:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:26:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:26:36,0.1,0.6,0.4,0.7,0.2,0.8,1.1,1.1,1.2,0.9
2023-10-21 22:26:37,0.1,0.6,0.4,0.7,0.2,0.8,1.1,1.1,1.2,0.9
2023-10-21 22:26:38,0.1,0.5,0.3,0.6,0.2,0.6,0.9,0.9,0.9,0.9
2023-10-21 22:26:39,0.1,0.4,0.3,0.5,0.1,0.5,0.7,0.7,0.7,0.9
2023-10-21 22:26:40,0.1,0.3,0.2,0.4,0.1,0.4,0.5,0.6,0.6,0.9
2023-10-21 22:26:41,0.1,0.3,0.2,0.3,0.1,0.3,0.5,0.5,0.5,0.9
2023-10-21 22:26:42,0.1,0.2,0.1,0.3,0.1,0.3,0.4,0.4,0.4,0.9
2023-10-21 22:26:43,0.0,0.2,0.1,0.2,0.1,0.3,0.3,0.4,0.4,0.9
2023-10-21 22:26:44,0.0,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.3,0.9
2023-10-21 22:26:45,0.0,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.3,0.9
2023-10-21 22:26:46,0.0,0.1,0.1,0.2,0.0,0.2,0.3,0.3,0.3,0.9
2023-10-21 22:26:47,0.0,0.1,0.1,0.2,0.0,0.2,0.2,0.2,0.2,0.9
2023-10-21 22:26:48,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.7
2023-10-21 22:26:49,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:26:50,0.0,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:26:51,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:26:52,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:26:53,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:26:54,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:26:55,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:26:56,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:26:57,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:26:58,0.0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.7
2023-10-21 22:26:59,0.0,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.7
2023-10-21 22:27:00,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.7
2023-10-21 22:27:01,0.0,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.7
2023-10-21 22:27:03,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.7
2023-10-21 22:27:04,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.7
2023-10-21 22:27:05,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.7
2023-10-21 22:27:06,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.7
2023-10-21 22:27:07,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.7
2023-10-21 22:27:08,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.6
2023-10-21 22:27:09,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.6
2023-10-21 22:27:10,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.6
2023-10-21 22:27:11,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.6
2023-10-21 22:27:12,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.6
2023-10-21 22:27:13,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.6
2023-10-21 22:27:14,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:27:15,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:27:16,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:27:17,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.5,0.5,0.7
2023-10-21 22:27:18,0.1,0.2,0.1,0.2,0.2,0.4,0.5,0.5,0.5,0.7
2023-10-21 22:27:19,0.1,0.2,0.1,0.2,0.2,0.4,0.5,0.5,0.5,0.7
2023-10-21 22:27:20,0.1,0.2,0.1,0.2,0.2,0.4,0.5,0.5,0.5,0.7
2023-10-21 22:27:21,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.5,0.5,0.7
2023-10-21 22:27:22,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.5,0.7
2023-10-21 22:27:23,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:27:24,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:27:25,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:27:26,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:27:27,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:27:28,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.5,0.5,0.7
2023-10-21 22:27:29,0.1,0.2,0.1,0.2,0.2,0.4,0.5,0.5,0.5,0.7
2023-10-21 22:27:30,0.1,0.2,0.1,0.2,0.2,0.4,0.5,0.5,0.5,0.7
2023-10-21 22:27:32,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.5,0.5,0.7
2023-10-21 22:27:33,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.5,0.5,0.7
2023-10-21 22:27:34,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:27:35,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:27:36,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:27:37,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:27:38,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:27:39,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:27:40,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:27:41,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.5,0.5,0.7
2023-10-21 22:27:42,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.5,0.5,0.7
2023-10-21 22:27:43,0.1,0.2,0.1,0.2,0.2,0.4,0.5,0.5,0.5,0.7
2023-10-21 22:27:44,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.5,0.5,0.7
2023-10-21 22:27:45,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.5,0.5,0.7
2023-10-21 22:27:46,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:27:47,0.1,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:27:48,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:27:49,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:27:50,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.6
2023-10-21 22:27:51,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.6
2023-10-21 22:27:52,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6
2023-10-21 22:27:53,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6
2023-10-21 22:27:54,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6
2023-10-21 22:27:55,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6
2023-10-21 22:27:56,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.5,0.6
2023-10-21 22:27:57,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.5,0.6
2023-10-21 22:27:59,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.6
2023-10-21 22:28:00,0.1,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.4,0.6
2023-10-21 22:28:01,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.4,0.6
2023-10-21 22:28:02,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.6
2023-10-21 22:28:03,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.6
2023-10-21 22:28:04,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.6
2023-10-21 22:28:05,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.6
2023-10-21 22:28:06,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.6
2023-10-21 22:28:07,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.6
2023-10-21 22:28:08,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.6
2023-10-21 22:28:09,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.6
2023-10-21 22:28:10,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.6
2023-10-21 22:28:11,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.6
2023-10-21 22:28:12,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.6
2023-10-21 22:28:13,0.0,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.6
2023-10-21 22:28:14,0.0,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.6
2023-10-21 22:28:15,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.6
2023-10-21 22:28:16,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.6
2023-10-21 22:28:17,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.6
2023-10-21 22:28:18,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.6
2023-10-21 22:28:19,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.6
2023-10-21 22:28:20,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.6
2023-10-21 22:28:21,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.6
2023-10-21 22:28:22,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.6
2023-10-21 22:28:23,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.6
2023-10-21 22:28:25,0.1,0.2,0.2,0.3,0.5,0.7,0.8,0.8,0.8,0.7
2023-10-21 22:28:26,0.1,0.3,0.2,0.3,0.6,0.9,1.0,1.0,1.0,0.7
2023-10-21 22:28:27,0.1,0.3,0.2,0.4,0.7,1.0,1.1,1.1,1.1,0.7
2023-10-21 22:28:28,0.1,0.3,0.3,0.4,0.7,1.1,1.2,1.2,1.2,0.7
2023-10-21 22:28:29,0.2,0.4,0.3,0.4,0.7,1.1,1.2,1.2,1.2,0.7
2023-10-21 22:28:30,0.2,0.4,0.3,0.4,0.7,1.1,1.2,1.2,1.2,0.7
2023-10-21 22:28:31,0.1,0.3,0.3,0.4,0.7,1.1,1.2,1.2,1.2,0.7
2023-10-21 22:28:32,0.1,0.3,0.3,0.4,0.7,1.0,1.2,1.2,1.2,0.7
2023-10-21 22:28:33,0.1,0.3,0.3,0.4,0.7,1.0,1.1,1.1,1.2,0.7
2023-10-21 22:28:34,0.1,0.3,0.2,0.4,0.7,1.0,1.1,1.1,1.1,0.7
2023-10-21 22:28:35,0.1,0.3,0.2,0.4,0.7,1.0,1.1,1.1,1.1,0.7
2023-10-21 22:28:36,0.1,0.3,0.2,0.3,0.6,0.9,1.0,1.0,1.0,0.7
2023-10-21 22:28:37,0.1,0.3,0.2,0.3,0.6,0.9,1.0,1.0,1.0,0.7
2023-10-21 22:28:38,0.1,0.3,0.2,0.3,0.6,0.8,0.9,0.9,0.9,0.7
2023-10-21 22:28:39,0.1,0.2,0.2,0.3,0.5,0.8,0.8,0.8,0.8,0.7
2023-10-21 22:28:40,0.1,0.2,0.2,0.3,0.5,0.7,0.8,0.8,0.8,0.7
2023-10-21 22:28:41,0.1,0.2,0.2,0.2,0.5,0.7,0.7,0.8,0.8,0.7
2023-10-21 22:28:42,0.1,0.2,0.2,0.2,0.4,0.6,0.7,0.7,0.7,0.7
2023-10-21 22:28:43,0.1,0.2,0.1,0.2,0.4,0.6,0.7,0.7,0.7,0.7
2023-10-21 22:28:44,0.1,0.2,0.1,0.2,0.4,0.6,0.6,0.6,0.6,0.7
2023-10-21 22:28:45,0.1,0.2,0.1,0.2,0.4,0.5,0.6,0.6,0.6,0.7
2023-10-21 22:28:46,0.1,0.2,0.1,0.2,0.3,0.5,0.5,0.5,0.5,0.7
2023-10-21 22:28:47,0.1,0.1,0.1,0.2,0.3,0.5,0.5,0.5,0.5,0.7
2023-10-21 22:28:48,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.7
2023-10-21 22:28:49,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:28:51,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.4,0.7
2023-10-21 22:28:52,0.0,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.7
2023-10-21 22:28:53,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.7
2023-10-21 22:28:54,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.7
2023-10-21 22:28:55,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.7
2023-10-21 22:28:56,0.0,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.7
2023-10-21 22:28:57,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.7
2023-10-21 22:28:58,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.7
2023-10-21 22:28:59,0.0,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.7
2023-10-21 22:29:00,0.0,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.7
2023-10-21 22:29:01,0.0,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.7
2023-10-21 22:29:02,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.7
2023-10-21 22:29:03,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:04,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:05,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:06,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:07,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:08,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:09,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:10,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:11,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:12,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:13,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:14,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.7
2023-10-21 22:29:16,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.7
2023-10-21 22:29:17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
2023-10-21 22:29:41,0.2,0.4,0.3,0.4,0.9,1.2,1.3,1.4,1.4,0.6
2023-10-21 22:29:42,0.2,0.4,0.3,0.4,0.9,1.2,1.3,1.4,1.4,0.6
2023-10-21 22:29:43,0.1,0.3,0.2,0.3,0.7,0.9,1.0,1.0,1.0,0.6
2023-10-21 22:29:44,0.1,0.2,0.1,0.2,0.4,0.6,0.7,0.7,0.7,0.6
2023-10-21 22:29:45,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.4,0.4,0.6
2023-10-21 22:29:46,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.6
2023-10-21 22:29:47,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.6
2023-10-21 22:29:48,0.2,0.4,0.3,0.5,0.9,1.3,1.4,1.4,1.4,0.7
